id;address_line_one;address_line_two;postal_code;city;region
1;that of;oddly verify notwithstanding;melodic elegantly hazelnut;Grahamview;sometimes spiderling
2;aside;mechanize stutter through;steal ancient;Kilbackfurt;loyally given chuck
3;consecrate that entwine;trumpet manage;thanks;Lockmanborough;finally aside semicircle
4;pfft;profile;dock civilian payment;Simoniston;gain outbid
5;worn since dish;mean rag;huzzah sans after;Alexieview;whether feminine happily
6;hopelessly bravely if;when;barrage shrilly ditch;Markschester;agitated hail
7;following;gee who basic;dissociate glaring provided;McClurecester;commonly liquid
8;even save;tricky natter grass;blemish whose wherever;Corona;dandelion indeed
9;vacantly what;vaguely until;though;Morgan Hill;tuition phooey
10;geez;repeatedly;mealy;South Herminaport;yowza zowie hunker
