id;cust_id;client_id;id_type;ctry_code;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;before disown menacing;swiftly;velvety de;foo;reconcil;2024-07-22T16:18:25;punctual;2024-07-22T07:09:59;wriggler phew;consequently weak dearly
2;ick dibble sympathetically;acclimatize raffle like;thongs;pur;worth pi;2024-07-21T18:21:23;whoa up ;2024-07-21T20:07:41;beside following;boo hence
3;tooth;unrealistic;smoothly y;lon;disastro;2024-07-22T13:21:36;gloomy s;2024-07-22T11:33:18;sheath squirm tablet;yahoo yet weird
4;up;rudely aw;kindhearte;abo;likable;2024-07-22T05:03:21;innocent;2024-07-21T22:57:23;furthermore;however
5;large drat;wet less;bemoan;spo;gosh er ;2024-07-22T11:42:47;masculin;2024-07-22T16:37:24;separately;psst outside
6;grieve duh;meanwhile regarding meh;or woodlan;una;packet;2024-07-22T10:06:44;gruesome;2024-07-22T14:09:37;whoa;why above
7;drat;where reluctantly;digest;inv;faucet p;2024-07-21T20:20:20;subtle;2024-07-22T11:28:18;frankly;along
8;all logic;grumble like;since huzz;eve;wealthy ;2024-07-22T12:37:19;night no;2024-07-21T22:16:22;yum tan;wretched yowza reconquer
9;shoehorn;to limited consequently;zowie loft;exa;intentio;2024-07-22T04:11:59;whereas;2024-07-21T23:48:43;since ew;complement bah acclimate
10;ouch whereas since;badly outside;toughen qu;eng;abnormal;2024-07-21T19:05:42;about fu;2024-07-22T06:27:30;um;lest cub
