id;cust_id;history_ts;client_id;id_type;ctry_code;created_by;created_ts;updated_by;updated_ts;record_status
1;hole;2024-07-22T01:59:32;curiously ouch gruesome;eek meanin;smo;opposite;2024-07-21T17:58:33;provided;2024-07-22T04:15:07;up
2;imbue whereas keenly;2024-07-22T05:16:30;misbehave hops till;ensconce s;pro;terribly;2024-07-22T09:12:59;yum whoa;2024-07-22T06:07:01;aha
3;original;2024-07-22T05:27:12;never besides;bandana;wha;forenens;2024-07-22T02:15:21;urgently;2024-07-22T03:37:22;supposing ugh induce
4;afore generously;2024-07-22T05:15:25;outperform;refinance;but;expert y;2024-07-22T10:24:56;until;2024-07-22T06:31:31;like via jaggedly
5;senator aboard;2024-07-21T19:37:19;mmm;tomorrow;dro;tightly;2024-07-22T06:47:20;huzzah;2024-07-22T03:29:39;functional
6;neighbourhood but upwardly;2024-07-22T11:06:21;funny scallion;extremely ;psy;surprisi;2024-07-22T02:42:24;along no;2024-07-22T13:32:07;fluke
7;to furthermore that;2024-07-22T16:09:53;whoa;pace not s;ove;painfull;2024-07-22T16:07:05;ha;2024-07-22T01:26:20;meanwhile indelible until
8;pace prairie what;2024-07-22T15:19:21;loads realize;heavily ga;oof;under;2024-07-22T06:27:54;now;2024-07-21T20:27:51;till
9;abominate mmm;2024-07-22T05:41:36;lecture dearly times;yuck;sna;diffuse ;2024-07-22T13:23:18;dethrone;2024-07-22T09:55:02;although disengage wiggly
10;what where;2024-07-22T15:53:59;cruelly;clack sinc;hen;differ a;2024-07-22T16:29:51;awkwardl;2024-07-22T00:58:25;unused
