id;cust_id;client_id;id_type;ctry_code;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;wherever trapdoor bedeck;for belly;dress imme;woo;cornmeal;2024-07-22T11:03:49;minus sa;2024-07-22T07:36:29;envelope;sock commonly jam
2;meh in;stymie;provided q;whe;fasten a;2024-07-21T23:08:29;but idle;2024-07-22T14:57:12;near instantly oof;counsel ripe
3;repossess diligent er;quarterback warm now;mid;rap;even who;2024-07-22T06:39:13;busily s;2024-07-22T03:45:22;mockingly calmly;very greedily supposing
4;failing;sedately woot meh;summary;aha;proud mo;2024-07-22T17:15:27;yum grow;2024-07-21T21:03:16;next;enthusiastically illustration
5;extremely pfft;intently closed if;although p;pow;woot yuc;2024-07-22T14:35:16;optimist;2024-07-22T13:42:50;while boo;boldly
6;awkwardly odd;acquiesce nor yahoo;characteri;wis;between ;2024-07-22T05:09:07;poem thr;2024-07-22T15:03:21;circa;around psst agriculture
7;conclusion disastrous pish;ah;next centr;ick;ah;2024-07-22T04:27:41;burst do;2024-07-22T09:16:37;happy;fraudster couple which
8;yet phew inasmuch;angelic characterization ack;mechanical;fel;amongst ;2024-07-21T19:55:28;orderly ;2024-07-21T23:52:01;singe;cloudburst
9;qua duh;modulo greenhouse until;indeed kin;vic;boulevar;2024-07-22T05:19:47;helpless;2024-07-22T16:57:12;um naturalize duh;document behind
10;aw frenzy unsightly;wash vague beautifully;along even;bes;lumberin;2024-07-22T17:05:58;however ;2024-07-22T05:02:36;considering tint;whose
