id;settacc_id;account_id;sett_acct_nbr;sett_ccy;sett_acct_status;created_by;created_ts;updated_by;updated_ts;record_status
1;crazy evenly;pinpoint damage;blah toward quiet;vag;vice;beautifu;2024-07-22T11:30:57;generous;2024-07-22T11:35:09;roughen lo
2;witty before;however even;solemnly;but;greedily p;galumph ;2024-07-22T13:23:04;likewise;2024-07-22T10:01:45;defiantly 
3;good-natured;stealthily cons;among;ind;than;known st;2024-07-22T14:49:50;whoever ;2024-07-21T18:55:54;throughout
4;besides;duh brick;sunny usefully prioritize;min;convoke;alongsid;2024-07-22T14:02:32;favor;2024-07-22T07:58:36;that
5;speedily;treasure hungri;juvenile;foo;factor;highligh;2024-07-22T17:20:04;phooey;2024-07-22T05:26:14;likewise
6;hard-to-find;through;apud wildly railroad;pre;on youthfu;whenever;2024-07-22T12:55:01;starboar;2024-07-22T11:33:24;confidence
7;plus video;since since;whenever;maj;midst;yahoo be;2024-07-22T11:37:20;fairly;2024-07-22T16:35:15;blah coura
8;experienced pink;monthly how per;bath by;ami;blah cornm;general;2024-07-22T00:37:44;madly ho;2024-07-22T11:54:41;past
9;inasmuch;timbale stealth;yowza below;reg;besides yo;cornflak;2024-07-22T17:49:03;accident;2024-07-22T00:42:16;frankly fo
10;obligation however rack;blame times;editor dusk;tow;openly;cell;2024-07-22T09:28:35;furtherm;2024-07-22T15:48:49;astride fr
