id;annual_income;net_worth;current_savings;investment_experience;source_of_funds;created_at;updated_at
1;8425.43;11569.55;1524.15;parallelogram alteration;coaxingly um;2024-07-23T00:37:36;2024-07-23T07:36:24
2;18222.92;399.04;16136.9;expense;quintessential placode;2024-07-23T02:38:23;2024-07-22T20:23:57
3;12647.97;12018.73;23062.29;whoever barnstorm;indeed;2024-07-22T14:33:00;2024-07-22T17:31:29
4;17236.83;8443.15;6410.63;during zowie knowledgeably;wise like slushy;2024-07-22T19:13:29;2024-07-23T05:06:36
5;14518.39;24854.47;21186.02;ew comfortable gosh;abaft;2024-07-23T09:29:16;2024-07-22T20:53:51
6;19236.17;8621.15;11067.49;conjecture brr absolute;defiantly next;2024-07-23T00:53:10;2024-07-23T00:49:44
7;10539.43;16495.32;15751.61;save recovery;pfft than;2024-07-23T07:19:22;2024-07-22T18:23:26
8;7906.53;12876.09;10155.88;woot outside;generously;2024-07-23T04:25:00;2024-07-22T09:54:51
9;24375.72;13343.52;15094.3;hush tatami;cavernous;2024-07-23T04:07:08;2024-07-22T13:39:14
10;24504.74;14434.69;26541.6;framework energetically;er excitable up;2024-07-22T17:44:13;2024-07-23T06:31:29
