id;name;concept_uri;isco_group;description
1;dilate but;gah yahoo beneath;jealous caress;../fake-data/blob/hipster.txt
2;solemnly simmer cytokine;before now rash;under whereas;../fake-data/blob/hipster.txt
3;euphoric until;mid failing yippee;goggle between after;../fake-data/blob/hipster.txt
4;how meanwhile for;puzzling yahoo;what;../fake-data/blob/hipster.txt
5;enthusiastically near;redeem;yowza failing;../fake-data/blob/hipster.txt
6;bloodflow forked;till immigrant likewise;spotless limping chime;../fake-data/blob/hipster.txt
7;likewise acidly cumbersome;trembling;individualise;../fake-data/blob/hipster.txt
8;whether hospitable;parable inconsequential stylish;majestically imaginative below;../fake-data/blob/hipster.txt
9;nor scarcely;hilarious;promenade unlike;../fake-data/blob/hipster.txt
10;nor;ick jubilantly;strident villainous;../fake-data/blob/hipster.txt
