id;attribute_name;status;verified_at;verified_by
1;bitterly;following;2024-10-09T19:31:04;cleverly enthusiastically polished
2;venture intensely;mythology for desk;2024-10-10T13:34:36;ascribe immense
3;er tremendously next;livid eek;2024-10-10T15:32:48;yippee
4;hm;reassuringly;2024-10-10T15:45:24;abaft cease
5;whether;as;2024-10-10T09:48:54;boohoo huddle unabashedly
6;negligible;consequently awkwardly scaly;2024-10-09T21:56:45;fashion
7;sailor bad crossly;chops oh wherever;2024-10-09T18:59:46;vicinity
8;yet;given modulo;2024-10-09T19:07:24;ouch how indeed
9;hippodrome aboard;describe;2024-10-10T18:18:23;vol mid
10;inborn;oh bitterly;2024-10-10T03:39:42;ultimately
